ID,User_Name,created,tweet
1326707637031825408,David Skrypichayko,2020-11-12 02:05:24,"When I began to suffer from #depression, LawSocietyAlberta officials stepped up their intimidation &amp; harassment of… https://t.co/jwkmmLWP5n"
1326707539199856641,Online Mindfulness Therapy,2020-11-12 02:05:01,Speak to a therapist online for the treatment of anxiety and depression  https://t.co/ZgkHBPk0Fg  #onlinetherapy… https://t.co/JXnUPFebPZ
1326707409436495872,The Citadel,2020-11-12 02:04:30,RT @Pyroquinn1: Video games are my escape from my shitty ass reality. It's the one thing I know I can count on for making me happy. 😞 #game…
1326707325898518529,Mitzi J Hernández,2020-11-12 02:04:10,RT @ReadUnwritten: Keep fighting. #depression #mentalhealth #MentalHealthAwareness https://t.co/76wFItU0DR
1326707055265271811,"Al Levin, M.Ed. -- The Depression Files",2020-11-12 02:03:05,RT @allevin18: Concerned that someone may be suicidal? ASK DIRECTLY. This will NOT give a new idea. It WILL start a conversation and MAY ju…
1326707035036114946,"Al Levin, M.Ed. -- The Depression Files",2020-11-12 02:03:00,"RT @allevin18: Please Retweet--""Tips for Dealing with #Depression"" https://t.co/oOCb7sZcIe My Story of Major Depressive Disorder &amp; blog to…"
1326706971526000645,"Al Levin, M.Ed. -- The Depression Files",2020-11-12 02:02:45,"Believing that one's #depression  will simply pass is NOT a good method of care. Without treatment, one's depressio… https://t.co/yB9U01AiKi"
1326706722208165889,A. P.,2020-11-12 02:01:46,RT @medical_xpress: #Depression linked to bowel conditions @imperialspark https://t.co/TPz5mpT7no
1326706279088349185,"Ward W. Bond, PhD",2020-11-12 02:00:00,NEW EPISODE! Dr. Bond discusses Mental Health/Depression with @allevin18 of The Depression Files. Very informative… https://t.co/hRxIB0JiQe
1326706278727553024,Medical Daily,2020-11-12 02:00:00,"Online health tools have made big leaps this year, and now you can even get screened for #depression before meeting… https://t.co/vnkmBGockN"
1326705211180773377,"Al Levin, M.Ed. -- The Depression Files",2020-11-12 01:55:45,Men: Changes in behavior? Shortened temper? Loss of interest in things you typically enjoy? Isolating yourself? Mak… https://t.co/ar8qNehK2Q
1326705104951631880,Franca Cannatella,2020-11-12 01:55:20,"RT @HatsOn4Aware: Remembering the brave men &amp; women who fought for our country. 🙏🏼 They not only sacrificed their lives, but their #mentalh…"
1326704846125281281,Maurice John Moroney,2020-11-12 01:54:18,RT @allevin18: What??? A #podcast where #men actually TALK about #depression???? That's right. Check out https://t.co/XMyYSdyPzk Interviews…
1326704762105049088,Sarah Gaer,2020-11-12 01:53:58,RT @masssupport_org: Tips for being an effective #caregiver to someone with #depression during #COVID19 with the need to physical-distance…
1326704234318979072,"Al Levin, M.Ed. -- The Depression Files",2020-11-12 01:51:53,What??? A #podcast where #men actually TALK about #depression???? That's right. Check out https://t.co/XMyYSdyPzk I… https://t.co/PVZ6YxH6H0
1326704192145207299,♋️Simply Alvin 1964♋️ 🇺🇸🇩🇪🇮🇪,2020-11-12 01:51:43,RT @allevin18: The stigma of #depression adds to discrimination and to the shame one has that often prevents him/her from seeking help. Tal…
1326704084309725185,Consciousbuilders,2020-11-12 01:51:17,"RT @Consciousbuild1: Believe in yourself trust in you ! #belief #strength #depression #anxiety #PTSD
https://t.co/56M3YPjoUA"
1326704047735398400,Emma McCarthy,2020-11-12 01:51:08,"Self-care may sound a little indulgent, but here are a few reasons why it should be your priority in 2018.… https://t.co/UGAwSoAIbR"
